,index,rent_address,stop_name,min_distance,min_duration,postcode
235,375,8-grey-street-coburg-vic-3058-16076345,Melton Railway Station (Melton South),6087.93,580.25,3058
236,565,8-46-the-grove-coburg-vic-3058-16067821,Melton Railway Station (Melton South),9614.69,982.65,3058
237,445,100-clarendon-street-coburg-vic-3058-16073408,Melton Railway Station (Melton South),10535.87,842.6,3058
238,285,25-francis-street-coburg-vic-3058-16078116,Melton Railway Station (Melton South),11632.58,971.33,3058
239,989,417-11-urquhart-street-coburg-vic-3058-16061379,Melton Railway Station (Melton South),12663.13,1073.37,3058
240,123,1-29-arthur-street-coburg-north-vic-3058-16082466,Melton Railway Station (Melton South),12894.73,1362.08,3058
241,825,24-snapshot-drive-coburg-north-vic-3058-16069368,Melton Railway Station (Melton South),12012.13,1255.28,3058
242,426,8-7-9-bell-street-coburg-vic-3058-16074155,Melton Railway Station (Melton South),10561.05,1086.83,3058
243,840,102-729-sydney-road-coburg-vic-3058-16068134,Melton Railway Station (Melton South),13051.39,1117.7,3058
244,1220,818-sydney-rd-coburg-north-vic-3058-16088235,Melton Railway Station (Melton South),13655.43,1177.03,3058
245,646,6-rolls-street-coburg-vic-3058-16063327,Melton Railway Station (Melton South),12048.81,1000.82,3058
246,77,1-48-pearl-drive-craigieburn-vic-3064-16084074,Melton Railway Station (Melton South),13120.15,981.39,3064
