,rent_address,mall,min_distance,min_duration,postcode,price
239,6-rolls-street-coburg-vic-3058-16063327,206 Bourke Street,3342.22,418.39,3058,600.0
240,25-francis-street-coburg-vic-3058-16078116,206 Bourke Street,5904.25,567.78,3058,650.0
241,501-14-20-nicholson-street-coburg-vic-3058-16088479,Acland Court Shopping Centre,3218.33,336.15,3058,380.0
242,24-snapshot-drive-coburg-north-vic-3058-16069368,206 Bourke Street,195.43,39.78,3058,620.0
243,8-7-9-bell-street-coburg-vic-3058-16074155,206 Bourke Street,1972.79,240.72,3058,420.0
244,177-urquhart-street-coburg-vic-3058-16040113,206 Bourke Street,2147.16,261.06,3058,620.0
245,102-729-sydney-road-coburg-vic-3058-16068134,206 Bourke Street,2452.66,252.6,3058,410.0
246,10-illawara-drive-mickleham-vic-3064-16087933,206 Bourke Street,8375.95,784.49,3064,450.0
247,1-48-pearl-drive-craigieburn-vic-3064-16084074,206 Bourke Street,1948.48,294.21,3064,390.0
248,349-fitzroy-street-fitzroy-vic-3065-16084496,Brimbank Central Shopping Centre,2034.94,269.79,3065,650.0
249,107-176-argyle-street-fitzroy-vic-3065-16080545,Balnarring Village Shopping Centre,2348.22,338.73,3065,450.0
250,311-75-wellington-st-collingwood-vic-3066-16068804,Altona Gate Shopping Centre,1920.76,237.56,3066,700.0
251,206-75-wellington-street-collingwood-vic-3066-16059668,Altona Gate Shopping Centre,1920.76,237.56,3066,470.0
252,8-375-hoddle-street-collingwood-vic-3066-16057038,Altona Gate Shopping Centre,3502.17,426.98,3066,450.0
