,rent_address,school_name,min_distance,min_duration,postcode,price
779,313-15-bond-street-caulfield-vic-3162-16083470,Newport Lakes Primary School,514.39,52.06,3162,450.0
780,24-brooklyn-avenue-caulfield-south-vic-3162-16069207,Hamilton (Gray Street) Primary School,571.35,109.58,3162,695.0
781,1-rotorua-street-caulfield-south-vic-3162-16053690,Beaufort Primary School,951.72,94.33,3162,700.0
782,206-2-cedar-street-caulfield-south-vic-3162-15113111,Cheltenham Primary School,199.34,38.82,3162,450.0
783,202-2a-royal-parade-caulfield-south-vic-3162-16086143,Newport Lakes Primary School,496.31,63.5,3162,525.0
784,1-12-omar-street-caulfield-south-vic-3162-16085399,Sandringham Primary School,525.58,70.35,3162,690.0
785,5-14-olive-street-caulfield-south-vic-3162-16066746,Cheltenham Primary School,280.47,67.31,3162,360.0
786,39a-beech-st-caulfield-south-vic-3162-16085959,Grovedale Primary School,547.1,117.05,3162,1250.0
787,14-harcourt-ave-caulfield-vic-3162-16076560,Hallam Primary School,934.48,82.13,3162,950.0
788,16-667-glenhuntly-road-caulfield-vic-3162-15930196,Newport Lakes Primary School,553.94,66.37,3162,450.0
789,18-214-kambrook-road-caulfield-vic-3162-16065771,Colac Primary School,651.9,61.11,3162,450.0
790,1-27-venus-st-caulfield-south-vic-3162-16061113,Hawthorn West Primary School,998.41,109.12,3162,430.0
791,10-urandaline-grove-caulfield-vic-3162-16067602,Cavendish Primary School,1019.61,104.18,3162,900.0
792,4-15-howe-street-murrumbeena-vic-3163-16079909,Echuca Primary School,1149.03,176.67,3163,290.0
793,7-11-truganini-road-carnegie-vic-3163-16089644,Avoca Primary School,375.98,46.5,3163,390.0
794,101-17-murrumbeena-road-murrumbeena-vic-3163-16061406,Warrandyte Primary School,450.59,65.37,3163,460.0
795,2-44-rosstown-road-carnegie-vic-3163-16078450,Avenel Primary School,710.57,106.89,3163,545.0
796,3-16-oakleigh-road-carnegie-vic-3163-16077422,Warrandyte Primary School,624.28,50.06,3163,450.0
797,5-64-moonya-road-carnegie-vic-3163-16086569,Eltham Primary School,825.5,90.76,3163,320.0
798,3-27-coorigil-rd-carnegie-vic-3163-16075493,Avoca Primary School,828.82,81.52,3163,420.0
799,353-neerim-rd-carnegie-vic-3163-16077333,Avenel Primary School,864.57,102.21,3163,425.0
800,1102a-glen-huntly-road-glen-huntly-vic-3163-16088434,Colac Primary School,562.26,55.95,3163,300.0
801,6-28-ardyne-street-murrumbeena-vic-3163-16063604,Warrnambool West Primary School,1340.36,144.5,3163,250.0
802,9-55-blackwood-street-carnegie-vic-3163-16073375,Belmont Primary School,921.0,104.68,3163,295.0
803,6-58-leila-road-carnegie-vic-3163-16089254,Echuca Primary School,901.62,80.65,3163,380.0
804,5-2-park-avenue-glen-huntly-vic-3163-16066311,Warrnambool West Primary School,543.42,48.79,3163,500.0
805,1-12-toward-street-murrumbeena-vic-3163-16058355,Avoca Primary School,1233.23,176.31,3163,350.0
